GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0022200611,1610612748,Heat,MIA,Miami,240.000000:00,0.456,0.506,0.193,0.271,0.533,0.231,0.181,0.408
0022200616,1610612757,Trail Blazers,POR,Portland,240.000000:00,0.517,0.218,0.171,0.289,0.571,0.321,0.162,0.25
0022200616,1610612753,Magic,ORL,Orlando,240.000000:00,0.571,0.321,0.162,0.15,0.517,0.218,0.171,0.356
0022200615,1610612756,Suns,PHX,Phoenix,240.000000:00,0.533,0.344,0.206,0.38,0.479,0.281,0.156,0.311
0022200615,1610612744,Warriors,GSW,Golden State,240.000000:00,0.479,0.281,0.156,0.262,0.533,0.344,0.206,0.4
0022200613,1610612761,Raptors,TOR,Toronto,240.000000:00,0.604,0.297,0.115,0.375,0.634,0.174,0.104,0.214
0022200613,1610612766,Hornets,CHA,Charlotte,240.000000:00,0.634,0.174,0.104,0.143,0.604,0.297,0.115,0.396
0022200605,1610612764,Wizards,WAS,Washington,240.000000:00,0.598,0.22,0.194,0.167,0.581,0.333,0.096,0.34
0022200605,1610612740,Pelicans,NOP,New Orleans,240.000000:00,0.581,0.333,0.096,0.255,0.598,0.22,0.194,0.214
0022200608,1610612759,Spurs,SAS,San Antonio,240.000000:00,0.51,0.165,0.132,0.218,0.555,0.385,0.128,0.327
0022200608,1610612763,Grizzlies,MEM,Memphis,240.000000:00,0.555,0.385,0.128,0.212,0.51,0.165,0.132,0.255
0022200610,1610612758,Kings,SAC,Sacramento,240.000000:00,0.655,0.124,0.108,0.239,0.533,0.222,0.126,0.235
0022200610,1610612753,Magic,ORL,Orlando,240.000000:00,0.533,0.222,0.126,0.176,0.655,0.124,0.108,0.261
0022200606,1610612741,Bulls,CHI,Chicago,240.000000:00,0.523,0.163,0.085,0.12,0.5,0.241,0.094,0.22
0022200606,1610612738,Celtics,BOS,Boston,240.000000:00,0.5,0.241,0.094,0.18,0.523,0.163,0.085,0.14
0022200607,1610612752,Knicks,NYK,New York,240.000000:00,0.435,0.22,0.071,0.286,0.545,0.202,0.142,0.327
0022200607,1610612749,Bucks,MIL,Milwaukee,240.000000:00,0.545,0.202,0.142,0.231,0.435,0.22,0.071,0.365
0022200609,1610612747,Lakers,LAL,Los Angeles,240.000000:00,0.484,0.269,0.131,0.2,0.54,0.172,0.155,0.315
0022200609,1610612743,Nuggets,DEN,Denver,240.000000:00,0.54,0.172,0.155,0.259,0.484,0.269,0.131,0.2
0022200603,1610612756,Suns,PHX,Phoenix,240.000000:00,0.524,0.131,0.162,0.125,0.647,0.218,0.145,0.162
0022200603,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,0.647,0.218,0.145,0.081,0.524,0.131,0.162,0.208
0022200598,1610612754,Pacers,IND,Indiana,240.000000:00,0.511,0.379,0.146,0.151,0.494,0.307,0.172,0.321
0022200598,1610612766,Hornets,CHA,Charlotte,240.000000:00,0.494,0.307,0.172,0.245,0.511,0.379,0.146,0.264
0022200601,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,0.538,0.275,0.191,0.205,0.489,0.169,0.193,0.316
0022200601,1610612745,Rockets,HOU,Houston,240.000000:00,0.489,0.169,0.193,0.211,0.538,0.275,0.191,0.273
0022200602,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,0.547,0.211,0.081,0.255,0.521,0.575,0.135,0.234
0022200602,1610612742,Mavericks,DAL,Dallas,240.000000:00,0.521,0.575,0.135,0.17,0.547,0.211,0.081,0.314
0022200599,1610612748,Heat,MIA,Miami,240.000000:00,0.484,0.185,0.126,0.281,0.592,0.197,0.199,0.282
0022200599,1610612751,Nets,BKN,Brooklyn,240.000000:00,0.592,0.197,0.199,0.154,0.484,0.185,0.126,0.351
0022200596,1610612755,76ers,PHI,Philadelphia,240.000000:00,0.548,0.245,0.134,0.28,0.552,0.207,0.213,0.311
0022200596,1610612765,Pistons,DET,Detroit,240.000000:00,0.552,0.207,0.213,0.222,0.548,0.245,0.134,0.32
0022200604,1610612746,Clippers,LAC,LA,240.000000:00,0.442,0.326,0.112,0.35,0.539,0.225,0.09,0.167
0022200604,1610612737,Hawks,ATL,Atlanta,240.000000:00,0.539,0.225,0.09,0.146,0.442,0.326,0.112,0.367
0022200600,1610612762,Jazz,UTA,Utah,240.000000:00,0.568,0.25,0.19,0.178,0.525,0.216,0.092,0.305
0022200600,1610612763,Grizzlies,MEM,Memphis,240.000000:00,0.525,0.216,0.092,0.22,0.568,0.25,0.19,0.289
0022200597,1610612761,Raptors,TOR,Toronto,240.000000:00,0.505,0.319,0.099,0.245,0.507,0.487,0.226,0.318
0022200597,1610612757,Trail Blazers,POR,Portland,240.000000:00,0.507,0.487,0.226,0.227,0.505,0.319,0.099,0.302
0022200593,1610612740,Pelicans,NOP,New Orleans,240.000000:00,0.505,0.372,0.121,0.273,0.655,0.514,0.165,0.194
0022200593,1610612742,Mavericks,DAL,Dallas,240.000000:00,0.655,0.514,0.165,0.139,0.505,0.372,0.121,0.364
0022200594,1610612753,Magic,ORL,Orlando,240.000000:00,0.58,0.276,0.108,0.143,0.477,0.239,0.156,0.276
0022200594,1610612744,Warriors,GSW,Golden State,240.000000:00,0.477,0.239,0.156,0.19,0.58,0.276,0.108,0.184
0022200591,1610612759,Spurs,SAS,San Antonio,240.000000:00,0.525,0.14,0.121,0.226,0.574,0.189,0.129,0.231
0022200591,1610612738,Celtics,BOS,Boston,240.000000:00,0.574,0.189,0.129,0.154,0.525,0.14,0.121,0.302
0022200592,1610612762,Jazz,UTA,Utah,240.000000:00,0.559,0.194,0.096,0.143,0.608,0.386,0.1,0.182
