GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22201226,1610612763,Grizzlies,MEM,Memphis,240:00,40,92,0.435,7,37,0.189,13,18,0.722,11,32,43,25,8,4,12,16,100,-15
22201225,1610612740,Pelicans,NOP,New Orleans,240:00,40,90,0.444,3,21,0.143,25,29,0.862,11,38,49,18,13,3,15,24,108,-5
22201225,1610612750,Timberwolves,MIN,Minnesota,240:00,39,82,0.476,13,36,0.361,22,31,0.71,8,34,42,25,7,8,17,22,113,5
22201219,1610612753,Magic,ORL,Orlando,240:00,38,90,0.422,17,47,0.362,17,24,0.708,13,30,43,29,13,1,14,17,110,-13
22201219,1610612748,Heat,MIA,Miami,240:00,45,83,0.542,18,44,0.409,15,20,0.75,7,37,44,30,10,3,18,20,123,13
22201217,1610612755,76ers,PHI,Philadelphia,240:00,53,101,0.525,14,32,0.438,14,19,0.737,13,37,50,31,10,5,13,23,134,29
22201217,1610612751,Nets,BKN,Brooklyn,240:00,35,83,0.422,12,32,0.375,23,28,0.821,10,32,42,22,6,6,18,22,105,-29
22201229,1610612756,Suns,PHX,Phoenix,240:00,42,99,0.424,14,37,0.378,16,22,0.727,12,35,47,29,4,3,7,21,114,-5
22201229,1610612746,Clippers,LAC,LA,240:00,49,100,0.49,5,23,0.217,16,24,0.667,14,39,53,22,3,5,10,18,119,5
22201218,1610612739,Cavaliers,CLE,Cleveland,240:00,35,89,0.393,10,37,0.27,15,16,0.938,11,33,44,27,9,5,16,24,95,-11
22201218,1610612766,Hornets,CHA,Charlotte,240:00,37,81,0.457,6,32,0.188,26,30,0.867,10,39,49,23,8,5,18,14,106,11
22201216,1610612738,Celtics,BOS,Boston,240:00,42,89,0.472,25,54,0.463,11,14,0.786,12,35,47,33,5,3,15,13,120,6
22201216,1610612737,Hawks,ATL,Atlanta,240:00,44,97,0.454,11,39,0.282,15,19,0.789,16,34,50,27,11,5,9,12,114,-6
22201224,1610612759,Spurs,SAS,San Antonio,240:00,51,104,0.49,15,38,0.395,21,30,0.7,13,56,69,31,2,3,12,13,138,21
22201224,1610612742,Mavericks,DAL,Dallas,240:00,46,108,0.426,17,53,0.321,8,16,0.5,8,38,46,28,4,3,2,21,117,-21
22201220,1610612752,Knicks,NYK,New York,240:00,52,108,0.481,15,40,0.375,17,22,0.773,19,34,53,29,8,8,15,24,136,-5
22201220,1610612754,Pacers,IND,Indiana,240:00,46,89,0.517,19,34,0.559,30,38,0.789,8,36,44,33,8,9,15,24,141,5
22201213,1610612762,Jazz,UTA,Utah,240:00,44,100,0.44,11,35,0.314,19,23,0.826,17,42,59,30,9,2,16,18,118,4
22201213,1610612743,Nuggets,DEN,Denver,240:00,41,90,0.456,15,46,0.326,17,24,0.708,5,36,41,32,7,9,14,20,114,-4
22201215,1610612757,Trail Blazers,POR,Portland,240:00,47,89,0.528,14,32,0.438,17,23,0.739,7,27,34,32,8,4,10,20,125,-11
22201215,1610612746,Clippers,LAC,LA,240:00,49,93,0.527,12,35,0.343,26,30,0.867,13,38,51,30,7,5,12,17,136,11
22201214,1610612759,Spurs,SAS,San Antonio,240:00,50,95,0.526,13,29,0.448,18,24,0.75,10,35,45,34,5,4,13,16,131,-20
22201214,1610612750,Timberwolves,MIN,Minnesota,240:00,56,101,0.554,24,43,0.558,15,21,0.714,11,34,45,42,8,8,7,18,151,20
