GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22200589,1610612756,Suns,PHX,Phoenix,240:00,34,82,0.415,6,23,0.261,22,25,0.88,8,36,44,22,5,2,14,20,96,-8
22200589,1610612748,Heat,MIA,Miami,240:00,33,78,0.423,12,38,0.316,26,31,0.839,5,32,37,19,10,3,12,14,104,8
22200576,1610612753,Magic,ORL,Orlando,240:00,39,84,0.464,11,36,0.306,26,30,0.867,7,32,39,23,6,3,10,22,115,-8
22200576,1610612763,Grizzlies,MEM,Memphis,240:00,48,92,0.522,12,36,0.333,15,23,0.652,9,40,49,24,5,3,12,22,123,8
22200577,1610612742,Mavericks,DAL,Dallas,240:00,34,90,0.378,7,32,0.219,20,25,0.8,11,31,42,15,4,3,11,19,95,-29
22200577,1610612738,Celtics,BOS,Boston,240:00,41,84,0.488,16,43,0.372,26,31,0.839,10,42,52,29,6,8,11,22,124,29
22200579,1610612746,Clippers,LAC,LA,240:00,34,91,0.374,5,37,0.135,18,25,0.72,8,33,41,24,7,3,7,14,91,-31
22200579,1610612743,Nuggets,DEN,Denver,240:00,45,89,0.506,14,36,0.389,18,21,0.857,10,47,57,28,6,5,11,16,122,31
22200573,1610612744,Warriors,GSW,Golden State,240:00,45,87,0.517,15,40,0.375,14,15,0.933,9,31,40,31,3,4,14,20,119,-3
22200573,1610612765,Pistons,DET,Detroit,240:00,45,92,0.489,16,36,0.444,16,23,0.696,11,30,41,29,9,1,8,11,122,3
22200571,1610612757,Trail Blazers,POR,Portland,240:00,33,75,0.44,9,29,0.31,31,42,0.738,12,27,39,18,8,7,16,30,106,-7
22200571,1610612750,Timberwolves,MIN,Minnesota,240:00,39,76,0.513,9,24,0.375,26,36,0.722,8,25,33,25,8,6,14,30,113,7
22200575,1610612758,Kings,SAC,Sacramento,240:00,41,88,0.466,10,25,0.4,25,27,0.926,10,32,42,26,9,3,10,19,117,-3
22200575,1610612737,Hawks,ATL,Atlanta,240:00,45,84,0.536,10,30,0.333,20,22,0.909,7,37,44,21,9,4,15,21,120,3
22200570,1610612741,Bulls,CHI,Chicago,240:00,43,81,0.531,8,20,0.4,27,29,0.931,6,40,46,21,7,7,15,16,121,9
22200570,1610612751,Nets,BKN,Brooklyn,240:00,42,91,0.462,12,37,0.324,16,21,0.762,5,29,34,24,9,7,10,22,112,-9
22200572,1610612740,Pelicans,NOP,New Orleans,240:00,41,89,0.461,14,38,0.368,23,26,0.885,15,36,51,25,6,6,14,19,119,11
22200572,1610612745,Rockets,HOU,Houston,240:00,39,88,0.443,12,38,0.316,18,27,0.667,12,31,43,25,10,4,13,22,108,-11
22200562,1610612760,Thunder,OKC,Oklahoma City,240:00,58,98,0.592,20,40,0.5,14,22,0.636,9,35,44,31,14,3,13,23,150,33
22200562,1610612738,Celtics,BOS,Boston,240:00,40,88,0.455,12,40,0.3,25,31,0.806,11,27,38,29,4,7,17,15,117,-33
22200563,1610612762,Jazz,UTA,Utah,240:00,38,88,0.432,13,44,0.295,26,29,0.897,12,32,44,21,9,3,16,19,115,-2
22200563,1610612758,Kings,SAC,Sacramento,240:00,46,86,0.535,9,32,0.281,16,18,0.889,7,33,40,23,7,4,17,26,117,2
22200561,1610612764,Wizards,WAS,Washington,240:00,42,97,0.433,8,27,0.296,21,23,0.913,14,32,46,27,9,4,10,16,113,-10
22200561,1610612749,Bucks,MIL,Milwaukee,240:00,48,100,0.48,11,40,0.275,16,17,0.941,15,34,49,27,8,6,12,14,123,10
22200552,1610612739,Cavaliers,CLE,Cleveland,265:00,48,92,0.522,16,46,0.348,33,45,0.733,13,34,47,27,1,3,10,27,145,11
