GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MINUTES,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS
22201131,1610612737,Hawks,ATL,Atlanta,240.000000:00,120,42,31,11,5,2,11,25,2,1,3,0,4,4,4,4
22201133,1610612753,Magic,ORL,Orlando,240.000000:00,108,54,30,24,12,1,8,17,1,1,2,0,2,2,1,2
22201133,1610612763,Grizzlies,MEM,Memphis,240.000000:00,113,55,25,30,14,0,2,4,1,2,3,1,2,3,1,3
22201132,1610612748,Heat,MIA,Miami,240.000000:00,92,53,27,26,12,1,12,29,5,3,8,0,6,6,2,6
22201132,1610612761,Raptors,TOR,Toronto,240.000000:00,106,55,35,20,14,0,4,9,2,3,5,1,0,1,1,1
22201134,1610612766,Hornets,CHA,Charlotte,240.000000:00,137,45,33,12,7,0,10,20,4,5,9,2,4,5,4,6
22201134,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,134,47,27,20,15,2,9,22,0,2,2,1,6,4,2,7
22201122,1610612749,Bucks,MIL,Milwaukee,240.000000:00,126,48,32,16,16,0,9,19,7,0,7,3,15,18,10,18
22201122,1610612765,Pistons,DET,Detroit,240.000000:00,117,55,22,33,17,0,10,22,6,4,10,5,12,16,9,17
22201123,1610612742,Mavericks,DAL,Dallas,240.000000:00,127,69,48,21,11,1,13,33,6,5,11,1,5,5,1,6
22201123,1610612754,Pacers,IND,Indiana,240.000000:00,104,43,25,18,15,0,10,20,5,2,7,1,3,4,3,4
22201129,1610612741,Bulls,CHI,Chicago,240.000000:00,112,33,18,15,20,1,6,12,2,1,3,1,3,4,3,4
22201129,1610612746,Clippers,LAC,LA,240.000000:00,124,34,24,10,13,0,4,9,2,3,5,0,3,3,2,3
22201127,1610612740,Pelicans,NOP,New Orleans,240.000000:00,124,48,33,15,22,0,8,21,1,2,3,1,5,6,4,6
22201127,1610612757,Trail Blazers,POR,Portland,240.000000:00,90,31,24,7,17,0,4,9,1,1,2,0,1,1,1,1
22201124,1610612745,Rockets,HOU,Houston,240.000000:00,115,50,25,25,15,0,10,20,6,3,9,1,2,3,2,3
22201124,1610612752,Knicks,NYK,New York,240.000000:00,137,54,37,17,16,0,7,16,4,4,8,1,2,3,3,3
22201125,1610612756,Suns,PHX,Phoenix,240.000000:00,117,30,11,19,13,0,10,21,2,1,3,0,2,2,1,2
22201125,1610612762,Jazz,UTA,Utah,240.000000:00,103,46,27,19,6,0,11,24,1,0,1,0,2,2,1,2
22201126,1610612755,76ers,PHI,Philadelphia,240.000000:00,111,41,24,17,9,0,11,27,4,6,10,3,7,9,4,10
22201126,1610612743,Nuggets,DEN,Denver,240.000000:00,116,41,29,12,9,0,10,23,3,5,8,1,1,2,1,2
22201128,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,119,35,28,7,12,1,8,16,1,1,2,1,10,8,4,11
22201128,1610612758,Kings,SAC,Sacramento,240.000000:00,115,46,33,13,7,0,17,38,4,4,8,1,14,15,5,15
22201119,1610612764,Wizards,WAS,Washington,240.000000:00,104,52,33,19,14,0,4,9,1,1,2,0,2,2,0,2
22201119,1610612761,Raptors,TOR,Toronto,240.000000:00,114,38,25,13,20,1,9,21,0,1,1,3,1,4,3,4
22201116,1610612759,Spurs,SAS,San Antonio,240.000000:00,93,38,15,23,13,0,14,30,1,2,3,0,10,9,2,10
22201116,1610612738,Celtics,BOS,Boston,240.000000:00,137,59,37,22,10,1,12,30,0,0,0,0,13,13,2,13
